#
# Transition date estimate for NEON.D15.ONAQ.DP1.00033
#
# Site: NEON.D15.ONAQ.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-01-29
# Final Processing Time: 13:47:53
# Spline RMSE gcc_mean: 0.00138
# Spline RMSE gcc_50: 0.00143
# Spline RMSE gcc_75: 0.00168
# Spline RMSE gcc_90: 0.00198
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2017-03-24,2017-04-11,2017-04-28,2017-03-20,2017-04-08,2017-04-25,2017-04-06,2017-04-14,2017-04-29,0.34541,0.35089,0.36115,0.34207,0.37864
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2018-03-24,2018-04-03,2018-04-20,2018-03-03,2018-03-31,2018-04-16,2018-03-30,2018-04-07,2018-04-22,0.34742,0.35233,0.36097,0.34428,0.37716
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2019-03-18,2019-03-31,2019-04-13,2019-03-05,2019-03-29,2019-04-10,2019-03-26,2019-04-04,2019-04-14,0.34948,0.35523,0.36713,0.34559,0.38646
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2017-03-24,2017-04-09,2017-04-26,2017-03-20,2017-04-06,2017-04-17,2017-03-31,2017-04-13,2017-04-28,0.34396,0.34824,0.35679,0.34084,0.37235
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2018-03-20,2018-04-02,2018-04-19,2018-03-03,2018-03-30,2018-04-15,2018-03-29,2018-04-06,2018-04-21,0.346,0.3502,0.35854,0.34311,0.37291
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2019-03-15,2019-03-29,2019-04-11,2019-02-17,2019-03-26,2019-04-08,2019-03-22,2019-04-02,2019-04-12,0.34728,0.35245,0.36294,0.3437,0.38044
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2017-03-23,2017-04-09,2017-04-19,2017-03-19,2017-04-06,2017-04-16,2017-03-31,2017-04-12,2017-04-28,0.34235,0.34648,0.35352,0.33988,0.36711
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2018-03-19,2018-04-02,2018-04-19,2018-03-03,2018-03-30,2018-04-15,2018-03-28,2018-04-06,2018-04-21,0.3449,0.34889,0.35664,0.34223,0.36958
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2019-03-16,2019-03-29,2019-04-11,2019-02-18,2019-03-26,2019-04-08,2019-03-22,2019-04-01,2019-04-12,0.34612,0.35111,0.36025,0.34297,0.37599
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_mean,2017-03-21,2017-04-08,2017-04-19,2017-03-18,2017-04-04,2017-04-16,2017-03-27,2017-04-12,2017-04-27,0.342,0.34638,0.35361,0.33946,0.36775
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_mean,2018-03-19,2018-04-02,2018-04-19,2018-03-03,2018-03-30,2018-04-16,2018-03-28,2018-04-05,2018-04-21,0.34497,0.34917,0.3565,0.3423,0.37004
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_mean,2019-03-15,2019-03-29,2019-04-11,2019-02-18,2019-03-27,2019-04-09,2019-03-21,2019-04-01,2019-04-13,0.34626,0.35112,0.36034,0.34287,0.37733
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_90,2019-06-16,2019-06-14,2019-06-10,2019-06-18,2019-06-15,2019-06-11,2019-06-14,2019-06-12,2019-06-09,0.351,0.35538,0.36782,0.34714,0.38583
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_90,2018-06-17,2018-06-08,2018-05-29,2018-06-21,2018-06-12,2018-06-01,2018-06-13,2018-06-04,2018-05-28,0.34584,0.35075,0.36115,0.34251,0.37761
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_90,2017-06-17,2017-06-13,2017-06-08,2017-06-21,2017-06-14,2017-06-10,2017-06-14,2017-06-11,2017-06-07,0.34828,0.3528,0.36242,0.34536,0.37861
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_75,2019-06-18,2019-06-14,2019-06-10,2019-06-21,2019-06-15,2019-06-11,2019-06-15,2019-06-13,2019-06-09,0.34711,0.353,0.36355,0.34434,0.38025
NEON.D15.ONAQ.DP1.00033,GR,1000,falling,gcc_75,2018-06-16,2018-06-06,2018-05-29,2018-06-20,2018-06-09,2018-05-31,2018-06-12,2018-06-03,2018-05-27,0.3437,0.34852,0.35729,0.34046,0.37345
